realisation,run_source,delta_v_kms,velocity_sigma_kms,velocity_direction_angle_rad,velocity_seed,stage1_fracture_scale_pc,archived_stage1_fracture_scale_pc,stage1_fracture_abs_error_pc,exact_spatial_reconstruction,stage1_groups,stage1_grouped_stars,forward_s2_first_significant_flags,forward_s2_first_accepted_splits,forward_s2_first_final_groups,forward_s2_first_orphans,forward_s2_first_grouped_stars,forward_s3_second_significant_flags,forward_s3_second_accepted_splits,forward_s3_second_final_groups,forward_s3_second_orphans,forward_s3_second_grouped_stars,forward_mean_completeness,forward_mean_purity,forward_mean_jaccard,forward_templates_detected_ge50pct,forward_strict_recoveries_of_8,forward_overlap_best_groups_separate,forward_formal_overlap_resolved,forward_strict_overlap_resolved,reverse_s3_first_significant_flags,reverse_s3_first_accepted_splits,reverse_s3_first_final_groups,reverse_s3_first_orphans,reverse_s3_first_grouped_stars,reverse_s2_second_significant_flags,reverse_s2_second_accepted_splits,reverse_s2_second_final_groups,reverse_s2_second_orphans,reverse_s2_second_grouped_stars,reverse_mean_completeness,reverse_mean_purity,reverse_mean_jaccard,reverse_templates_detected_ge50pct,reverse_strict_recoveries_of_8,reverse_overlap_best_groups_separate,reverse_formal_overlap_resolved,reverse_strict_overlap_resolved,delta_completeness_reverse_minus_forward,delta_purity_reverse_minus_forward,delta_jaccard_reverse_minus_forward,delta_strict_recoveries_reverse_minus_forward,delta_formal_overlap_reverse_minus_forward,delta_strict_overlap_reverse_minus_forward,same_retention_fraction,elapsed_seconds
20,mc_0020,5.0,1.0,1.3788287780389752,20260845,17.058791019808645,17.058791019808645,0.0,True,100,2403,12,6,108,66,2337,0,0,108,0,2337,0.9047036975650916,0.9230684565572626,0.8304244650467238,7,7,True,False,False,1,1,101,5,2398,11,5,108,37,2361,0.9240001456525233,0.9230684565572626,0.8497209131341557,8,7,True,True,False,0.019296448087431695,0.0,0.019296448087431806,0,1,0,0.9986238160770663,24.209022998809814
21,mc_0021,5.0,1.0,5.525609156846147,20260846,17.040104933363203,17.040104933363203,0.0,True,102,2396,11,4,109,33,2363,2,0,109,0,2363,0.9194095799180328,0.9187792519214606,0.8479251613239227,7,7,True,False,False,3,1,103,11,2385,10,3,108,14,2371,0.9407231898907104,0.9298227808148258,0.8722652163439184,8,7,True,True,False,0.021313609972677505,0.01104352889336524,0.0243400550199957,0,1,0,0.9991095280498664,24.36076807975769
22,mc_0022,5.0,1.0,1.9547055472494776,20260847,17.040104933363203,17.040104933363203,0.0,True,100,2415,11,4,106,43,2372,1,0,106,0,2372,0.9194095799180328,0.7546707595637783,0.6740803394818111,7,6,True,False,False,2,1,101,8,2407,10,3,106,7,2400,0.9406911714480874,0.7534688364868551,0.6950144839047845,8,6,True,True,False,0.0212815915300546,-0.0012019230769231282,0.020934144422973366,0,1,0,0.998704768072533,24.266507863998413
23,mc_0023,5.0,1.0,1.5857552189561728,20260848,16.82746389211387,16.82746389211387,0.0,True,96,2348,9,4,102,50,2298,0,0,102,0,2298,0.9192864098729877,0.9003066231372184,0.8300790363433559,7,7,True,False,False,1,1,97,31,2317,9,4,102,28,2289,0.9360427281789987,0.8929677557223253,0.8374029734104171,8,7,True,True,False,0.016756318306010987,-0.007338867414893091,0.007323937067061248,0,1,0,0.9978547721201327,23.155494928359985
24,mc_0024,5.0,1.0,0.44193108489231314,20260849,17.048388529750305,17.048388529750305,0.0,True,98,2407,15,7,108,76,2331,1,0,108,0,2331,0.9187585382513661,0.9359915088309114,0.8552340014818793,7,7,True,False,False,2,1,99,12,2395,12,4,104,23,2372,0.9993489583333333,0.9319391340877472,0.9313452286151105,8,8,True,True,True,0.08059042008196715,-0.004052374743164222,0.07611122713323115,1,1,1,0.9982595320974662,24.819182872772217
25,mc_0025,5.0,1.0,5.049677872782353,20260850,17.044626788618505,17.044626788618505,0.0,True,102,2401,12,5,110,66,2335,0,0,110,0,2335,0.874684809275831,0.9205023635031213,0.7971340180827832,7,6,True,False,False,1,1,103,34,2367,8,2,106,12,2355,0.9526390442485085,0.9273856800471432,0.8801332233194912,8,7,True,True,True,0.0779542349726775,0.006883316544021856,0.082999205236708,1,1,1,0.9978952481178661,25.78267741203308
26,mc_0026,5.0,1.0,4.7391679302823455,20260851,17.018295368341942,17.018295368341942,0.0,True,99,2446,10,2,101,6,2440,2,1,103,34,2406,0.9968979779411764,0.875762678128785,0.8727571873315744,8,8,True,True,True,2,1,101,34,2412,12,4,107,19,2393,0.9370021446078431,0.876078719485054,0.8198485334854205,8,7,True,True,False,-0.05989583333333326,0.0003160413562689479,-0.05290865384615384,-1,0,-1,0.9994738120294665,24.89089012145996
27,mc_0027,5.0,1.0,4.560044363021102,20260852,17.022899394627675,17.022899394627675,0.0,True,102,2453,14,4,109,63,2390,0,0,109,0,2390,0.9194095799180328,0.8503998498838218,0.7785254479023476,7,7,True,False,False,1,1,103,27,2426,12,3,108,13,2413,0.94140625,0.8499781706409687,0.7963165544793526,8,7,True,True,False,0.02199667008196715,-0.0004216792428530791,0.017791106577005,0,1,0,0.9983404840929329,25.640647888183594
28,mc_0028,5.0,1.0,3.4128214153334104,20260853,17.027820392426293,17.027820392426293,0.0,True,100,2484,10,2,106,65,2419,0,0,106,0,2419,0.9308294911202186,0.8762206765626148,0.825915517770869,7,7,True,False,False,1,1,101,87,2397,12,4,107,43,2354,0.9304772882513661,0.8979756126342368,0.8379506351497451,8,7,True,True,False,-0.0003522028688525136,0.021754936071621933,0.012035117378876081,0,1,0,0.9957500202379989,25.167038917541504
29,mc_0029,5.0,1.0,0.015298608333530759,20260854,17.048388529750305,17.048388529750305,0.0,True,101,2403,11,5,108,55,2348,2,0,108,0,2348,0.916958599525876,0.9398920464154682,0.8572166728386181,7,7,True,False,False,3,1,102,6,2397,10,4,108,20,2377,0.9362230291706847,0.9353205080758944,0.874993667709147,8,7,True,True,False,0.019264429644808678,-0.0045715383395738,0.01777699487052886,0,1,0,0.9985023880838663,24.912003993988037
30,mc_0030,5.0,1.0,3.7599218828947416,20260855,17.040104933363203,17.040104933363203,0.0,True,102,2404,11,4,108,42,2362,0,0,108,0,2362,0.9194095799180328,0.9056523495343041,0.8352661267234422,7,7,True,False,False,1,1,103,9,2395,9,3,108,8,2387,0.9393570696721312,0.9070701618590258,0.8550844321446662,8,7,True,True,False,0.019947489754098324,0.0014178123247217123,0.01981830542122398,0,1,0,0.9985833400793329,25.08841109275818
31,mc_0031,5.0,1.0,4.879422056246835,20260856,17.040104933363203,17.040104933363203,0.0,True,102,2418,11,3,105,53,2365,0,0,105,0,2365,0.9226647882513661,0.9250179557845999,0.8564951507013621,7,7,True,False,False,1,1,103,31,2387,10,3,108,17,2370,0.9393570696721312,0.9337939849370711,0.8774957995675203,8,7,True,True,False,0.016692281420765065,0.00877602915247122,0.021000648866158267,0,1,0,0.9980166761110661,24.72812008857727
